#time	x	y	parity	Id
#time stamps of events with x = y = par = id =-1 have us since epoch as timestamp for synching reasons
#the corresponding DVS timestamp is the one BEFORE the epoch time event
1456322310051626	-1	-1	-1	-1
1456322327940428	-1	-1	-1	-1
18362740	47	41	0	1	
18362785	72	88	0	1	
18362786	72	88	0	1	
18362794	51	21	0	1	
18362848	72	67	0	1	
18363040	46	88	0	1	
18363058	109	31	1	1	
18363105	123	101	1	0	
18363122	64	102	0	0	
18363420	108	63	0	0	
18363540	6	1	0	1	
18363721	50	29	1	1	
18363988	55	29	1	1	
18364099	51	88	0	1	
18364117	101	17	0	1	
18364159	7	55	0	1	
18364254	60	88	0	1	
18364325	98	30	1	1	
18364340	40	107	0	1	
18364422	51	43	1	0	
18364567	116	46	0	0	
18364768	107	44	1	0	
18364937	47	29	1	1	
18364961	95	30	1	1	
18364972	50	49	0	0	
18364976	81	87	0	0	
18365021	63	88	0	1	
18365324	51	29	1	1	
18365533	118	33	0	1	
18365534	118	33	0	1	
18365619	72	29	1	1	
18365644	50	51	0	0	
18365646	66	43	1	0	
18365963	62	102	0	0	
18366026	104	31	1	1	
18366163	60	29	1	1	
18366370	49	63	0	0	
18366454	59	102	0	0	
18366826	39	51	0	0	
18366838	47	37	0	1	
18366863	49	45	0	0	
18366885	17	113	0	1	
18366941	57	43	1	0	
18367250	57	102	0	0	
18367421	49	73	0	0	
18367524	34	95	0	1	
18367559	86	102	0	0	
18367586	54	42	1	0	
18368127	28	46	0	1	
18368153	53	88	0	1	
18368195	108	44	1	0	
18368197	108	44	1	0	
18368200	49	29	1	1	
18368301	72	43	1	0	
18368355	80	102	0	0	
18368471	58	102	0	0	
18368475	69	88	0	1	
18368631	2	96	0	1	
18368633	2	96	0	1	
18368722	3	127	1	1	
18368891	80	88	0	1	
18368903	58	87	0	1	
18368917	61	88	0	1	
18368924	55	87	0	1	
18368992	69	102	0	0	
18369200	52	29	1	1	
18369448	38	94	0	1	
18369499	73	43	1	0	
18369621	52	43	1	0	
18369656	45	28	1	0	
18369658	91	30	1	1	
18369719	65	101	0	0	
18369748	33	95	1	0	
18369749	33	95	1	0	
18369801	55	101	0	0	
18369856	81	88	0	1	
18369875	49	115	0	1	
18369963	69	43	1	0	
18369971	32	49	0	0	
18369981	126	45	0	0	
18370126	64	88	0	1	
18370155	65	119	0	0	
18370185	54	101	0	0	
18370252	64	43	1	0	
18370393	14	116	0	1	
18370534	50	101	0	0	
18370632	80	62	0	0	
18370763	76	88	0	1	
18370832	55	102	0	0	
18370842	85	30	1	1	
18370957	50	88	0	1	
18371154	66	101	0	0	
18371389	67	102	0	0	
18371503	39	95	0	1	
18371692	61	102	0	0	
18371769	47	44	0	1	
18371827	47	33	0	1	
18371886	47	30	1	1	
18371993	53	101	0	0	
18372002	54	88	0	1	
18372035	67	43	1	0	
18372278	51	102	0	0	
18372329	68	102	0	0	
18372330	46	126	0	1	
18372377	89	31	0	0	
18372550	30	46	0	1	
18372574	82	87	0	1	
18372649	75	88	0	1	
18372664	78	66	0	0	
18372791	52	101	0	0	
18372868	66	102	0	0	
18372937	60	43	1	0	
18372938	31	63	0	1	
18373119	119	111	0	1	
18373121	103	44	1	0	
18373187	70	102	0	0	
18373188	70	102	0	0	
18373324	8	54	0	1	
18373362	71	102	0	0	
18373583	60	72	0	0	
18373619	65	102	0	0	
18373773	73	102	0	0	
18373886	73	30	1	1	
18373907	87	97	0	1	
18373908	87	97	0	1	
18374189	75	30	1	1	
18374417	70	43	1	0	
18374418	70	43	1	0	
18374426	86	43	1	0	
18374534	25	9	0	1	
18374734	49	99	1	0	
18374812	89	102	0	0	
18374829	53	102	0	0	
18374859	65	42	1	0	
18374878	6	62	0	1	
18375078	1	126	1	1	
18375080	1	126	1	1	
18375111	119	33	1	1	
18375112	119	33	1	1	
18375140	56	88	0	1	
18375375	62	43	1	0	
18375380	92	65	0	1	
18375431	76	15	1	0	
18375800	63	102	0	0	
18375935	47	32	0	1	
18375944	47	35	0	1	
18376404	106	44	1	0	
18376459	89	30	1	1	
18376494	101	69	0	1	
18376512	113	32	1	1	
18376513	113	32	1	1	
18376520	56	29	1	1	
18376572	11	15	0	1	
18376576	72	43	0	1	
18376658	56	102	0	0	
18376659	7	1	0	1	
18376732	70	29	1	1	
18377295	52	102	0	0	
18377452	57	88	0	1	
18377454	57	88	0	1	
18377526	41	102	1	1	
18377673	91	88	0	1	
18377737	117	104	0	1	
18377750	45	86	1	1	
18377873	78	58	0	0	
18378106	48	88	0	1	
18378147	76	102	0	0	
18378221	93	30	1	1	
18378358	87	98	0	1	
18378378	46	31	0	1	
18378411	85	43	1	0	
18378491	49	91	1	0	
18379340	47	88	0	1	
18379402	121	23	0	0	
18379517	96	30	1	1	
18379585	74	102	0	0	
18379588	49	102	0	0	
18379605	93	23	1	1	
18379606	93	23	1	1	
18379632	71	88	0	1	
18379655	48	44	0	0	
18379828	99	44	1	0	
18380046	58	43	1	0	
18380087	66	29	1	1	
18380371	87	102	0	0	
18380374	81	102	0	0	
18380446	66	57	0	1	
18380738	59	88	0	1	
18380740	38	5	0	1	
18380808	49	74	0	0	
18380808	31	62	0	1	
18380935	79	30	1	1	
18381181	118	45	1	0	
18381257	65	111	0	1	
18381341	10	29	0	1	
18381367	78	43	1	0	
18381456	23	90	0	1	
18381502	78	67	0	0	
18381597	39	20	0	0	
18381625	83	44	1	0	
18382080	54	29	1	1	
18382594	61	29	1	1	
18382595	61	29	1	1	
18382800	60	102	0	0	
18382825	86	30	1	1	
18383224	123	33	1	1	
18383230	97	44	1	0	
18383250	98	31	1	1	
18383274	52	88	0	1	
18383446	51	57	0	0	
18383483	98	17	0	0	
18383933	51	101	0	0	
18384135	102	102	0	0	
18384280	52	43	1	0	
18384529	91	33	0	0	
18384545	93	44	1	0	
18384881	46	88	0	1	
18385008	107	121	0	0	
18385059	95	43	1	0	
18385205	70	44	1	0	
18385249	79	29	1	1	
18385270	116	32	1	1	
18385271	116	32	1	1	
18385355	50	43	1	0	
18385356	50	43	1	0	
18385375	88	30	1	1	
18385591	68	78	0	1	
18385674	74	44	1	0	
18385675	74	44	1	0	
18385856	75	98	0	1	
18385940	50	42	1	0	
18386177	75	102	0	0	
18386206	84	30	1	1	
18386328	79	69	0	0	
18386344	77	44	1	0	
18386428	11	69	0	0	
18386434	103	86	0	0	
18386467	78	102	0	0	
18386516	94	102	0	0	
18386623	90	102	0	0	
18386757	88	102	0	0	
18386845	94	94	0	0	
18386857	83	46	0	0	
18386931	57	29	1	1	
18386932	57	29	1	1	
18386985	74	43	1	0	
18386992	56	30	1	1	
18387012	39	5	0	1	
18387013	39	5	0	1	
18387131	90	90	0	0	
18387282	45	98	0	0	
18387327	58	71	0	1	
18387350	18	114	0	1	
18387579	33	76	0	0	
18387587	114	35	0	1	
18387588	114	10	1	1	
18387617	63	89	0	1	
18387968	76	99	0	1	
18387973	72	102	0	0	
18388067	49	75	0	0	
18388265	97	31	1	1	
18388307	79	102	0	0	
18388383	67	29	1	1	
18388384	67	29	1	1	
18388471	96	44	1	0	
18388498	61	43	1	0	
18388515	14	75	0	1	
18388600	79	71	0	0	
18388672	114	39	0	0	
18388700	72	54	0	0	
18388739	57	101	0	0	
18388747	18	115	0	1	
18388833	49	94	1	0	
18388871	96	102	0	0	
18388922	104	44	1	0	
18388983	83	88	0	1	
18389024	74	12	0	0	
18389202	83	30	1	1	
18389210	22	90	0	1	
18389217	101	88	0	0	
